Year,Background,Index,Period_1_commu,Period_2_commu,Period_3_commu,Period_1_commu_internal,Period_2_commu_internal,Period_3_commu_internal
2008.0,communication,11909,3.0,2.0,5.0,,,1.0
2008.0,communication,11907,3.0,2.0,5.0,2.0,1.0,1.0
2012.0,computer science,11398,,9.0,7.0,,1.0,1.0
2012.0,computer science,11415,,9.0,7.0,,1.0,1.0
2012.0,computer science,11237,,27.0,45.0,,8.0,3.0
2011.0,computer science,11503,,27.0,45.0,,,
2010.0,computer science,11704,,18.0,45.0,,,
2011.0,computer science,11516,,14.0,45.0,,,
2012.0,computer science,11274,,18.0,52.0,,,
2010.0,computer science,11744,,18.0,52.0,,,
2013.0,multidisciplinary sciences,10565,,,4.0,,,1.0
2013.0,geography,11041,,33.0,6.0,,,3.0
2012.0,computer science,11328,,19.0,46.0,,,1.0
2006.0,computer science,11947,2.0,19.0,46.0,,,
2009.0,computer science,11824,8.0,19.0,46.0,,,
2010.0,computer science,11772,,19.0,46.0,,1.0,1.0
2009.0,information science & library science,11876,6.0,7.0,3.0,,,
2008.0,computer science,11901,6.0,39.0,102.0,,,
2011.0,communication,11493,,3.0,2.0,,1.0,1.0
2011.0,communication,11522,,,15.0,,,
2007.0,communication,11928,2.0,2.0,5.0,,1.0,1.0
2011.0,health care sciences & services,11577,,4.0,1.0,,1.0,2.0
2011.0,health care sciences & services,11632,,4.0,1.0,,1.0,2.0
2013.0,endocrinology & metabolism,11061,,4.0,1.0,,,2.0
2014.0,computer science,10309,,24.0,3.0,,,1.0
2012.0,information science & library science,11307,,7.0,3.0,,,4.0
2013.0,computer science,10517,,27.0,31.0,,,
2013.0,computer science,10896,,27.0,31.0,,,
2011.0,computer science,11588,,12.0,16.0,,,
2011.0,education & educational research,11607,,10.0,16.0,,3.0,4.0
2013.0,computer science,11020,,,3.0,,,
2010.0,"public, environmental & occupational health",11751,,2.0,5.0,,10.0,2.0
2007.0,education,11935,,1.0,8.0,,,
2011.0,communication,11473,,8.0,19.0,,,
2010.0,communication,11759,,2.0,5.0,,1.0,1.0
2011.0,business,11527,,2.0,5.0,,,
2010.0,business,11655,,6.0,11.0,,1.0,1.0
2007.0,business,11932,1.0,8.0,11.0,,1.0,1.0
2011.0,education,11540,,1.0,8.0,,2.0,2.0
2009.0,nursing,11884,5.0,1.0,8.0,,2.0,1.0
2005.0,psychology,11948,1.0,8.0,49.0,,,1.0
2005.0,communication,11949,1.0,8.0,49.0,,,
2010.0,business,11792,,17.0,3.0,,,
2012.0,information science & library science,11231,,17.0,3.0,,,1.0
2014.0,health care sciences & services,10440,,,1.0,,,2.0
2013.0,multidisciplinary sciences,10853,,,1.0,,,2.0
2010.0,immunology,11763,,6.0,22.0,,2.0,2.0
2013.0,endocrinology & metabolism,10871,,,1.0,,,
2012.0,psychology,11284,,1.0,13.0,,2.0,2.0
2010.0,computer science,11753,,8.0,49.0,,,
2013.0,health care sciences & services,10611,,,8.0,,,2.0
2006.0,communication,11945,1.0,8.0,49.0,,,
2007.0,communication,11923,1.0,8.0,2.0,,,
2008.0,communication,11915,1.0,8.0,49.0,,12.0,1.0
2012.0,business,11174,,,3.0,,,
2015.0,computer science,9374,,,,,,
2013.0,computer science,10724,,23.0,7.0,,,1.0
2008.0,cultural studies,11904,,11.0,20.0,,,1.0
2010.0,communication,11735,,5.0,20.0,,,1.0
2011.0,environmental studies,11592,,17.0,3.0,,,
2013.0,multidisciplinary sciences,10856,,20.0,5.0,,1.0,1.0
2010.0,computer science,11702,,10.0,16.0,,3.0,4.0
2012.0,business,11387,,7.0,3.0,,,
2011.0,business,11581,,6.0,11.0,,,1.0
2013.0,psychology,10757,,3.0,2.0,,,1.0
2012.0,communication,11196,,3.0,2.0,,1.0,1.0
2013.0,computer science,10775,,24.0,4.0,,,1.0
2012.0,psychology,11139,,11.0,2.0,,,1.0
2014.0,psychology,10146,,,69.0,,,1.0
2012.0,computer science,11383,,14.0,26.0,,,
2013.0,computer science,10881,,14.0,26.0,,,4.0
2012.0,business,11144,,7.0,3.0,,,1.0
2012.0,communication,11410,,3.0,2.0,,1.0,1.0
2013.0,multidisciplinary sciences,10952,,25.0,1.0,,,1.0
2007.0,communication,11927,2.0,2.0,5.0,,1.0,1.0
2008.0,psychology,11910,2.0,2.0,5.0,1.0,1.0,1.0
2009.0,psychology,11845,,2.0,5.0,,1.0,1.0
2009.0,psychology,11867,3.0,2.0,5.0,,1.0,1.0
2013.0,psychology,10714,,,,,,
2013.0,"public, environmental & occupational health",10697,,4.0,1.0,,,2.0
2011.0,health care sciences & services,11458,,4.0,1.0,,,2.0
2015.0,communication,9011,,,2.0,,,1.0
2013.0,communication,10790,,3.0,2.0,,,1.0
2013.0,communication,10789,,3.0,2.0,,,1.0
2013.0,psychology,10570,,3.0,2.0,,,1.0
2013.0,communication,10788,,3.0,2.0,,,1.0
2012.0,psychology,11309,,2.0,5.0,,1.0,1.0
2011.0,business,11627,,4.0,5.0,,,
2012.0,education & educational research,11280,,10.0,16.0,,,25.0
2013.0,psychology,10754,,10.0,2.0,,,1.0
2012.0,communication,11418,,5.0,20.0,,,1.0
2011.0,communication,11636,,5.0,20.0,,,1.0
2013.0,computer science,10725,,14.0,26.0,,,4.0
2009.0,womens studies,11811,,,53.0,,,
2012.0,communication,11308,,5.0,44.0,,1.0,1.0
2011.0,psychology,11530,,5.0,2.0,,,1.0
2009.0,communication,11817,,5.0,53.0,,1.0,1.0
2014.0,geography,10494,,29.0,10.0,,,3.0
2011.0,geography,11447,,29.0,29.0,,,3.0
2013.0,social sciences,10844,,26.0,10.0,,,1.0
2013.0,cardiac & cardiovascular systems,10850,,4.0,1.0,,,
2013.0,computer science,10774,,17.0,14.0,,,1.0
2013.0,computer science,10782,,23.0,14.0,,,1.0
2010.0,information science & library science,11697,,10.0,16.0,,,
2011.0,psychology,11481,,,5.0,,,
2011.0,hospitality,11635,,17.0,3.0,,,1.0
2012.0,computer science,11171,,3.0,10.0,,,1.0
2009.0,computer science,11806,,7.0,5.0,,1.0,1.0
2013.0,political science,10832,,16.0,2.0,,,1.0
2011.0,communication,11624,,3.0,2.0,,1.0,1.0
2015.0,international relations,9273,,,2.0,,,3.0
2015.0,political science,8664,,,2.0,,,1.0
2011.0,multidisciplinary sciences,11498,,9.0,10.0,,1.0,1.0
2012.0,business,11072,,,98.0,,,37.0
2012.0,business,11310,,7.0,3.0,,2.0,4.0
2012.0,computer science,11325,,40.0,77.0,,,
2010.0,education & educational research,11696,,10.0,16.0,,,
2011.0,computer science,11511,,2.0,5.0,,,1.0
2009.0,communication,11853,2.0,2.0,5.0,,1.0,1.0
2012.0,business,11247,,6.0,11.0,,1.0,1.0
2013.0,communication,10862,,3.0,2.0,,1.0,1.0
2012.0,computer science,11261,,20.0,67.0,,,3.0
2012.0,computer science,11384,,20.0,31.0,,,3.0
2007.0,psychology,11937,1.0,8.0,49.0,,,
2010.0,psychology,11730,3.0,2.0,5.0,,1.0,1.0
2010.0,physics,11780,,38.0,10.0,,,
2009.0,communication,11835,1.0,2.0,62.0,,,
2013.0,computer science,11054,,22.0,10.0,,1.0,1.0
2014.0,multidisciplinary sciences,10365,,4.0,1.0,,,2.0
2011.0,dentistry,11491,,4.0,1.0,,1.0,2.0
2012.0,substance abuse,11220,,4.0,1.0,,,2.0
2013.0,computer science,10574,,,91.0,,,
2012.0,computer science,11241,,47.0,91.0,,,
2012.0,computer science,11255,,,91.0,,,
2014.0,computer science,10110,,,,,,
2015.0,computer science,9452,,,99.0,,,23.0
2013.0,health care sciences & services,10612,,,1.0,,,2.0
2009.0,communication,11864,,5.0,53.0,,1.0,1.0
2009.0,communication,11866,,,,,,
2010.0,psychology,11660,3.0,2.0,5.0,,,
2012.0,communication,11341,,32.0,7.0,,,
2010.0,psychology,11722,,2.0,5.0,,,1.0
2010.0,computer science,11775,,2.0,5.0,,,
2013.0,multidisciplinary sciences,10509,,4.0,1.0,,,2.0
2011.0,business,11625,,7.0,3.0,,,1.0
2011.0,business,11543,,7.0,3.0,,,1.0
2012.0,business,11175,,8.0,11.0,,,
2011.0,ethics,11448,3.0,2.0,5.0,,,1.0
2009.0,computer science,11865,,38.0,99.0,,,
2008.0,communication,11895,,5.0,20.0,,,
2013.0,psychology,10943,,36.0,5.0,,,1.0
2012.0,computer science,11256,,16.0,2.0,,,1.0
2011.0,communication,11623,,3.0,2.0,,1.0,1.0
2013.0,computer science,10885,,29.0,4.0,,,3.0
2013.0,hospitality,10979,,17.0,3.0,,,1.0
2012.0,mathematics,11080,,16.0,10.0,,,3.0
2014.0,political science,10294,,3.0,2.0,,,1.0
2010.0,computer science,11679,,7.0,11.0,,,
2013.0,health care sciences & services,10710,,4.0,1.0,,,2.0
2014.0,geography,10466,,9.0,6.0,,1.0,3.0
2013.0,communication,10889,,3.0,2.0,,1.0,1.0
2011.0,communication,11445,,5.0,53.0,,1.0,1.0
2011.0,business,11574,,7.0,3.0,,,1.0
2013.0,information science & library science,10936,,7.0,3.0,,,1.0
2011.0,computer science,11469,,52.0,120.0,,1.0,1.0
2008.0,health care sciences & services,11896,4.0,12.0,40.0,,1.0,2.0
2008.0,health care sciences & services,11905,4.0,12.0,40.0,,1.0,1.0
2013.0,computer science,10602,,7.0,3.0,,,1.0
2011.0,business,11478,,6.0,3.0,,1.0,1.0
2014.0,computer science,9891,,,206.0,,,
2013.0,computer science,10643,,,206.0,,,
2011.0,computer science,11548,,35.0,99.0,,,23.0
2009.0,computer science,11809,,38.0,99.0,,,
2013.0,computer science,10760,,19.0,78.0,,,1.0
2012.0,communication,11251,,11.0,18.0,,1.0,1.0
2013.0,communication,11046,,3.0,15.0,,,1.0
2011.0,computer science,11544,,9.0,29.0,,1.0,1.0
2012.0,communication,11371,,,48.0,,,1.0
2010.0,business,11672,,6.0,11.0,,1.0,1.0
2014.0,computer science,9892,,,,,,
2013.0,computer science,10762,,18.0,41.0,,,7.0
2010.0,physics,11677,,9.0,10.0,,1.0,1.0
2010.0,pharmacology & pharmacy,11667,,12.0,40.0,,,
2014.0,computer science,9909,,13.0,9.0,,1.0,4.0
2016.0,"public, environmental & occupational health",7804,,,5.0,,,
2011.0,psychology,11489,,2.0,5.0,,,1.0
2011.0,health care sciences & services,11631,,1.0,8.0,,2.0,2.0
2013.0,computer science,10667,,,4.0,,,3.0
2013.0,communication,11053,,3.0,2.0,,1.0,1.0
2013.0,hospitality,11058,,,3.0,,,1.0
2014.0,communication,10409,,,2.0,,,1.0
2010.0,rehabilitation,11778,,4.0,1.0,,1.0,2.0
2011.0,business,11532,,6.0,4.0,,1.0,1.0
2012.0,psychology,11426,,2.0,5.0,,,1.0
2014.0,computer science,10080,,,1.0,,,2.0
2013.0,multidisciplinary sciences,10511,,,1.0,,,2.0
2013.0,computer science,10841,,18.0,41.0,,,7.0
2013.0,psychology,10829,,2.0,5.0,,,1.0
2011.0,computer science,11572,,2.0,4.0,,,1.0
2010.0,environmental sciences,11765,,16.0,1.0,,,3.0
2013.0,business,10988,,,30.0,,,1.0
2012.0,psychology,11140,,,101.0,,,
2011.0,computer science,11518,,35.0,46.0,,,
2010.0,computer science,11688,,,1.0,,,
2013.0,psychology,10766,,2.0,5.0,,,1.0
2015.0,multidisciplinary sciences,9234,,,10.0,,,
2012.0,management,11153,,7.0,3.0,,2.0,4.0
2011.0,business,11494,,6.0,11.0,,1.0,1.0
2014.0,communication,10425,,,11.0,,,1.0
2012.0,business,11076,,6.0,11.0,,,1.0
2014.0,business,10478,,,3.0,,,1.0
2011.0,business,11486,,8.0,11.0,,,1.0
2010.0,business,11761,,8.0,11.0,,12.0,1.0
2013.0,pediatrics,10593,,4.0,1.0,,,2.0
2010.0,communication,11694,,,2.0,,,1.0
2012.0,business,11253,,7.0,3.0,,2.0,1.0
2014.0,computer science,10470,,23.0,7.0,,,1.0
2013.0,computer science,10652,,23.0,7.0,,,1.0
2013.0,communication,10726,,3.0,4.0,,,1.0
2014.0,social issues,10359,,6.0,11.0,,1.0,1.0
2013.0,business,10580,,6.0,11.0,,,1.0
2013.0,psychology,10835,,5.0,2.0,,,1.0
2010.0,communication,11798,,2.0,19.0,,,1.0
2009.0,computer science,11844,,3.0,10.0,,11.0,1.0
2011.0,public administration,11599,,6.0,76.0,,,
2014.0,computer science,10401,,9.0,2.0,,,1.0
2015.0,computer science,9532,,16.0,2.0,,,1.0
2013.0,communication,10886,,3.0,2.0,,,1.0
2012.0,communication,11120,,5.0,20.0,,,1.0
2012.0,psychology,11162,,10.0,16.0,,,
2012.0,business,11106,,10.0,11.0,,,1.0
2013.0,health care sciences & services,10817,,15.0,1.0,,,2.0
2013.0,health care sciences & services,10891,,15.0,1.0,,,2.0
2013.0,health care sciences & services,10761,,15.0,1.0,,,2.0
2013.0,"public, environmental & occupational health",10797,,4.0,1.0,,,2.0
2013.0,multidisciplinary sciences,10731,,4.0,1.0,,,2.0
2011.0,information science & library science,11443,,7.0,3.0,,,
2015.0,computer science,8936,,,21.0,,,3.0
2013.0,information science & library science,10801,,32.0,3.0,,,1.0
2013.0,computer science,10641,,28.0,21.0,,,3.0
2013.0,computer science,10921,,28.0,36.0,,,1.0
2012.0,business,11248,,6.0,11.0,,,
2009.0,psychology,11846,,5.0,5.0,,,
2009.0,communication,11880,,8.0,11.0,,1.0,1.0
2013.0,communication,10859,,3.0,2.0,,1.0,1.0
2013.0,communication,11052,,3.0,2.0,,1.0,1.0
2012.0,communication,11075,,3.0,19.0,,,1.0
2013.0,communication,10791,,3.0,2.0,,,1.0
2010.0,communication,11726,,2.0,5.0,,1.0,1.0
2012.0,communication,11260,,2.0,30.0,,,1.0
2010.0,psychology,11659,,2.0,30.0,,,2.0
2010.0,psychology,11729,,33.0,10.0,,,
2013.0,computer science,10940,,24.0,3.0,,,1.0
2014.0,computer science,9814,,,26.0,,,4.0
2011.0,computer science,11641,,,52.0,,,4.0
2012.0,mathematics,11081,,27.0,10.0,,,1.0
2013.0,geography,11021,,33.0,1.0,,,3.0
2013.0,geography,11022,,33.0,6.0,,,3.0
2013.0,health care sciences & services,10633,,4.0,1.0,,1.0,3.0
2010.0,communication,11802,,11.0,18.0,,,1.0
2009.0,psychology,11878,,2.0,39.0,,1.0,1.0
2008.0,computer science,11911,,21.0,104.0,,,
2012.0,computer science,11313,,18.0,110.0,,,
2014.0,computer science,10211,,,10.0,,,3.0
2013.0,computer science,10799,,7.0,81.0,,,40.0
2012.0,psychology,11142,,34.0,8.0,,2.0,2.0
2011.0,pediatrics,11580,,34.0,8.0,,2.0,2.0
2012.0,health care sciences & services,11117,,,1.0,,,1.0
2012.0,psychology,11311,,34.0,8.0,,2.0,2.0
2007.0,psychology,11925,4.0,34.0,8.0,,2.0,2.0
2011.0,psychology,11477,,4.0,1.0,,,
2014.0,psychology,10331,,,2.0,,,
2012.0,archaeology,11424,,,,,,
2010.0,education,11666,,12.0,40.0,,,
2013.0,psychology,10695,,36.0,5.0,,,1.0
2015.0,computer science,8897,,,6.0,,,3.0
2014.0,psychology,10150,,,4.0,,,3.0
2013.0,computer science,10553,,33.0,6.0,,,3.0
2011.0,"public, environmental & occupational health",11537,,,,,,
2014.0,computer science,10266,,13.0,9.0,,1.0,4.0
2012.0,education & educational research,11194,,10.0,16.0,,,4.0
2012.0,education & educational research,11305,,10.0,16.0,,1.0,4.0
2012.0,"public, environmental & occupational health",11295,,4.0,1.0,,1.0,2.0
2013.0,education,10683,,4.0,9.0,,,2.0
2010.0,business,11691,,2.0,5.0,,,
2010.0,social sciences,11673,,2.0,5.0,,,
2014.0,psychology,10351,,,65.0,,,1.0
2014.0,anthropology,10375,,,65.0,,,
2014.0,sociology,9901,,,65.0,,,
2013.0,communication,10840,,,39.0,,,
2013.0,sociology,10694,,30.0,30.0,,,
2012.0,cultural studies,11369,,30.0,5.0,,,
2007.0,computer science,11940,2.0,38.0,99.0,,,
2010.0,history,11787,,,,,,
2010.0,history,11788,,,,,,
2012.0,computer science,11243,,32.0,3.0,,,
2013.0,computer science,11025,,24.0,2.0,,,1.0
2015.0,computer science,9220,,,9.0,,,4.0
2014.0,computer science,9968,,13.0,9.0,,,4.0
2013.0,education,10974,,1.0,8.0,,2.0,2.0
2013.0,education,10547,,1.0,8.0,,,2.0
2011.0,information science & library science,11444,,54.0,57.0,,,6.0
2011.0,information science & library science,11556,,,57.0,,,
2010.0,computer science,11663,,18.0,41.0,,,
2014.0,computer science,10117,,,21.0,,,5.0
2013.0,computer science,10560,,23.0,7.0,,,1.0
2013.0,computer science,10723,,23.0,7.0,,,1.0
2014.0,computer science,10505,,9.0,7.0,,,1.0
2013.0,computer science,10888,,41.0,6.0,,,3.0
2011.0,business,11564,,32.0,3.0,,,
2010.0,computer science,11771,,35.0,99.0,,,
2013.0,computer science,11049,,52.0,5.0,,,1.0
2010.0,psychology,11789,,6.0,5.0,,,29.0
2012.0,psychology,11121,,2.0,5.0,,,1.0
2013.0,pharmacology & pharmacy,10905,,,,,,
2011.0,"public, environmental & occupational health",11514,,4.0,1.0,,10.0,2.0
2011.0,computer science,11460,,,,,,
2014.0,mathematics,9840,,,111.0,,,
2012.0,geography,11161,,5.0,53.0,,,17.0
2012.0,hospitality,11294,,,3.0,,,
2012.0,computer science,11252,,,95.0,,,5.0
2011.0,computer science,11524,,29.0,6.0,,,3.0
2015.0,multidisciplinary sciences,9499,,20.0,12.0,,,1.0
2009.0,communication,11826,,,,,,
2011.0,computer science,11487,,18.0,52.0,,,
2013.0,computer science,10743,,29.0,32.0,,,3.0
2013.0,computer science,10858,,7.0,7.0,,,1.0
2012.0,computer science,11339,,,,,,
2010.0,"public, environmental & occupational health",11700,,12.0,40.0,,1.0,2.0
2011.0,communication,11553,,2.0,5.0,,1.0,1.0
2010.0,computer science,11687,,65.0,46.0,,,
2008.0,computer science,11898,,,57.0,,,
2010.0,communication,11795,,,,,,
2012.0,business,11156,,7.0,3.0,,,1.0
2014.0,computer science,10241,,13.0,9.0,,,4.0
2013.0,multidisciplinary sciences,10734,,13.0,9.0,,,4.0
2011.0,computer science,11584,,35.0,46.0,,,
2010.0,computer science,11643,,31.0,46.0,,1.0,1.0
2010.0,computer science,11739,,18.0,45.0,,,
2012.0,behavioral sciences,11321,,4.0,1.0,,2.0,2.0
2012.0,sport sciences,11306,,4.0,1.0,,1.0,2.0
2013.0,health care sciences & services,10711,,4.0,1.0,,1.0,2.0
2013.0,"public, environmental & occupational health",10684,,4.0,1.0,,1.0,2.0
2013.0,multidisciplinary sciences,10902,,16.0,1.0,,,2.0
2013.0,psychology,10802,,,5.0,,,
2014.0,psychology,10350,,,5.0,,,
2013.0,computer science,11019,,47.0,1.0,,,2.0
2013.0,education,11006,,12.0,40.0,,,
2009.0,communication,11871,,6.0,76.0,,,
2012.0,mathematics,11082,,14.0,26.0,,,
2011.0,business,11451,,5.0,3.0,,,1.0
2014.0,communication,10237,,31.0,19.0,,,1.0
2013.0,computer science,10605,,,3.0,,,1.0
2010.0,computer science,11664,,21.0,4.0,,7.0,3.0
2010.0,computer science,11776,,63.0,184.0,,,
2014.0,communication,10449,,3.0,2.0,,,
2011.0,computer science,11508,,3.0,2.0,,1.0,1.0
2011.0,psychology,11561,,2.0,5.0,,,1.0
2013.0,multidisciplinary sciences,10558,,16.0,2.0,,,1.0
2013.0,computer science,11038,,,26.0,,,
2012.0,multidisciplinary sciences,11065,,13.0,9.0,,1.0,4.0
2009.0,computer science,11852,,8.0,49.0,,,
2013.0,multidisciplinary sciences,10849,,13.0,9.0,,,4.0
2012.0,education & educational research,11411,,10.0,16.0,,,4.0
2013.0,computer science,10857,,13.0,9.0,,,4.0
2012.0,substance abuse,11281,,1.0,13.0,,2.0,2.0
2007.0,business,11930,3.0,2.0,3.0,,,
2012.0,communication,11234,,3.0,10.0,,,1.0
2009.0,communication,11869,,5.0,53.0,,1.0,1.0
2013.0,communication,10942,,3.0,2.0,,,1.0
2013.0,geography,11012,,33.0,6.0,,,3.0
2013.0,critical care medicine,10982,,4.0,1.0,,1.0,2.0
2012.0,substance abuse,11214,,4.0,30.0,,,2.0
2010.0,substance abuse,11686,,4.0,30.0,,,2.0
2012.0,cultural studies,11370,,30.0,5.0,,,
2013.0,communication,10807,,36.0,5.0,,,1.0
2013.0,psychology,10768,,36.0,5.0,,,1.0
2010.0,mathematical & computational biology,11773,,16.0,1.0,,,
2013.0,multidisciplinary sciences,10986,,20.0,90.0,,,1.0
2015.0,communication,9444,,,19.0,,,1.0
2015.0,political science,9508,,,2.0,,,1.0
2015.0,multidisciplinary sciences,9150,,,12.0,,,1.0
2016.0,political science,8071,,,2.0,,,1.0
2016.0,political science,8045,,,2.0,,,
2010.0,computer science,11705,,27.0,45.0,,,
2012.0,communication,11355,,11.0,39.0,,,1.0
2012.0,business,11303,,6.0,11.0,,,1.0
2009.0,education & educational research,11843,,,,,,
2006.0,engineering,11946,1.0,,,,,
2012.0,engineering,11160,,24.0,4.0,,,
2009.0,computer science,11856,2.0,5.0,5.0,,1.0,1.0
2012.0,computer science,11123,,,16.0,,,
2013.0,business,11000,,,11.0,,,1.0
2011.0,business,11450,,4.0,1.0,,,
2011.0,computer science,11470,,17.0,6.0,,,3.0
2014.0,communication,10413,,,2.0,,,
2013.0,computer science,10892,,57.0,86.0,,,3.0
2014.0,information science & library science,10284,,,3.0,,,1.0
2012.0,business,11270,,7.0,3.0,,,1.0
2011.0,critical care medicine,11571,,1.0,8.0,,2.0,2.0
2011.0,business,11605,,1.0,8.0,,2.0,1.0
2010.0,education & educational research,11646,,1.0,8.0,,2.0,2.0
2011.0,psychology,11619,,1.0,8.0,,2.0,2.0
2014.0,business,10357,,,3.0,,,1.0
2012.0,computer science,11272,,,16.0,,,
2013.0,psychology,11043,,2.0,5.0,,,
2013.0,computer science,10910,,,72.0,,,
2012.0,telecommunications,11245,,14.0,72.0,,4.0,4.0
2014.0,nursing,10422,,,9.0,,,2.0
2012.0,health care sciences & services,11092,,22.0,9.0,,1.0,2.0
2014.0,radiology,10247,,22.0,9.0,,1.0,2.0
2015.0,education & educational research,9534,,,16.0,,,
2013.0,information science & library science,10650,,,23.0,,,1.0
2010.0,psychology,11658,,2.0,5.0,,,
2009.0,computer science,11885,,21.0,62.0,,,
2015.0,communication,9348,,,2.0,,,1.0
2011.0,communication,11464,,3.0,2.0,,,1.0
2014.0,computer science,10404,,,2.0,,,1.0
2014.0,communication,10154,,,2.0,,,1.0
2015.0,management,9471,,,,,,
2014.0,physics,10269,,,71.0,,,1.0
2012.0,physics,11246,,,71.0,,,1.0
2012.0,communication,11327,,2.0,5.0,,1.0,1.0
2013.0,communication,10866,,,8.0,,,2.0
2007.0,substance abuse,11936,5.0,1.0,8.0,3.0,2.0,2.0
2013.0,information science & library science,10677,,7.0,3.0,,,1.0
2013.0,multidisciplinary sciences,10848,,28.0,55.0,,,1.0
2014.0,computer science,10347,,,47.0,,,
2010.0,computer science,11674,,14.0,26.0,,,
2014.0,communication,10480,,10.0,11.0,,3.0,1.0
2012.0,computer science,11236,,,2.0,,,
2012.0,communication,11290,,3.0,2.0,,,1.0
