Index,Background,Year,Year_range,Period_1_commu,Period_2_commu,Period_3_commu
7654,computer science,2016.0,3.0,,,53.0
9495,computer science,2015.0,3.0,,,44.0
10063,computer science,2014.0,2.0,,1.0,38.0
10064,computer science,2014.0,2.0,,1.0,2.0
10656,computer science,2013.0,2.0,,,99.0
10770,computer science,2013.0,2.0,,1.0,38.0
11240,computer science,2012.0,2.0,,1.0,5.0
3192,neurosciences,2018.0,3.0,,,
10116,endocrinology & metabolism,2014.0,2.0,,,
180,oncology,2019.0,3.0,,,16.0
5183,dermatology,2017.0,3.0,,,16.0
7732,"public, environmental & occupational health",2016.0,3.0,,,175.0
8641,psychiatry,2015.0,3.0,,,16.0
11172,computer science,2012.0,2.0,,4.0,16.0
11281,substance abuse,2012.0,2.0,,4.0,23.0
11449,multidisciplinary sciences,2011.0,2.0,,4.0,16.0
11488,music,2011.0,2.0,,4.0,16.0
11540,education,2011.0,2.0,,4.0,16.0
5660,"public, environmental & occupational health",2017.0,3.0,,,175.0
7295,health care sciences & services,2016.0,3.0,,,175.0
2288,health care sciences & services,2019.0,3.0,,,16.0
1990,psychology,2019.0,3.0,,,24.0
5627,substance abuse,2017.0,3.0,,,121.0
7573,health care sciences & services,2016.0,3.0,,,121.0
8177,medicine,2016.0,3.0,,,3.0
10731,multidisciplinary sciences,2013.0,2.0,,3.0,8.0
10900,medicine,2013.0,2.0,,11.0,35.0
11778,rehabilitation,2010.0,2.0,,2.0,35.0
7731,"public, environmental & occupational health",2016.0,3.0,,,
7374,psychology,2016.0,3.0,,,6.0
5567,psychology,2017.0,3.0,,,75.0
8953,psychology,2015.0,3.0,,,75.0
3603,multidisciplinary sciences,2018.0,3.0,,,26.0
1635,health care sciences & services,2019.0,3.0,,,26.0
7801,psychology,2016.0,3.0,,,26.0
5720,psychology,2017.0,3.0,,,26.0
7972,psychology,2016.0,3.0,,,26.0
10980,health care sciences & services,2013.0,2.0,,4.0,16.0
11117,health care sciences & services,2012.0,2.0,,4.0,26.0
6479,nutrition & dietetics,2017.0,3.0,,,81.0
1877,substance abuse,2019.0,3.0,,,81.0
581,health care sciences & services,2019.0,3.0,,,8.0
6146,medical informatics,2017.0,3.0,,,8.0
6162,communication,2017.0,3.0,,,8.0
8797,urology & nephrology,2015.0,3.0,,,16.0
10321,communication,2014.0,2.0,,2.0,109.0
10578,health care sciences & services,2013.0,2.0,,3.0,17.0
10957,communication,2013.0,2.0,,,
11330,ethics,2012.0,2.0,,13.0,129.0
367,psychiatry,,,,,26.0
1166,mathematical & computational biology,2019.0,3.0,,,24.0
1460,medicine,2019.0,3.0,,,120.0
3821,medicine,2018.0,3.0,,,
9352,health care sciences & services,2015.0,3.0,,,120.0
9957,psychology,2014.0,2.0,,2.0,182.0
11458,health care sciences & services,2011.0,2.0,,2.0,182.0
1748,health care sciences & services,2019.0,3.0,,,92.0
10489,education & educational research,2014.0,2.0,,2.0,92.0
10212,"public, environmental & occupational health",2014.0,2.0,,,31.0
7286,biochemical research methods,2016.0,3.0,,,31.0
10541,anthropology,2013.0,2.0,,3.0,33.0
9505,"public, environmental & occupational health",2015.0,3.0,,,109.0
8758,health care sciences & services,2015.0,3.0,,,81.0
9757,health care sciences & services,2015.0,3.0,,,109.0
11265,health care sciences & services,2012.0,2.0,,,121.0
4011,medicine,2018.0,3.0,,,81.0
3359,substance abuse,2018.0,3.0,,,81.0
10697,"public, environmental & occupational health",2013.0,2.0,,2.0,182.0
9852,"public, environmental & occupational health",2014.0,2.0,,2.0,182.0
5173,mathematical & computational biology,2017.0,3.0,,,35.0
6733,medical informatics,2017.0,3.0,,,
11217,veterinary sciences,2012.0,2.0,,,
209,dentistry,2019.0,3.0,,,16.0
7092,dentistry,2016.0,3.0,,,16.0
10246,pediatrics,2014.0,2.0,,4.0,16.0
10448,otorhinolaryngology,2014.0,2.0,,4.0,16.0
10783,otorhinolaryngology,2013.0,2.0,,4.0,16.0
10191,psychology,2014.0,2.0,,4.0,75.0
502,psychology,2019.0,3.0,,,26.0
11407,communication,2012.0,2.0,,4.0,16.0
8167,communication,2016.0,3.0,,,39.0
1920,obstetrics & gynecology,2019.0,3.0,,,46.0
4458,immunology,2018.0,3.0,,,46.0
5546,"public, environmental & occupational health",2017.0,3.0,,,46.0
9248,communication,2015.0,3.0,,,42.0
7644,substance abuse,2016.0,3.0,,,42.0
9674,substance abuse,2015.0,3.0,,,42.0
5571,psychology,2017.0,3.0,,,23.0
10345,education & educational research,2014.0,2.0,,4.0,23.0
5234,psychology,2017.0,3.0,,,
988,communication,2019.0,3.0,,,8.0
11887,international relations,2009.0,1.0,8.0,4.0,16.0
7315,nursing,2016.0,3.0,,,275.0
8818,nutrition & dietetics,2015.0,3.0,,,275.0
11659,psychology,2010.0,2.0,,2.0,4.0
11751,"public, environmental & occupational health",2010.0,2.0,,2.0,4.0
11759,communication,2010.0,2.0,,2.0,4.0
3629,pediatrics,2018.0,3.0,,,131.0
772,psychology,2019.0,3.0,,,131.0
11140,psychology,2012.0,2.0,,,
10851,multidisciplinary sciences,2013.0,2.0,,1.0,21.0
10675,health care sciences & services,2013.0,2.0,,,
6435,psychology,2017.0,3.0,,,42.0
5634,substance abuse,2017.0,3.0,,,42.0
9457,substance abuse,2015.0,3.0,,,42.0
3795,health care sciences & services,2018.0,3.0,,,42.0
8511,psychology,2016.0,3.0,,,95.0
10228,ethics,2014.0,2.0,,2.0,109.0
10307,"public, environmental & occupational health",2014.0,2.0,,2.0,109.0
10329,health care sciences & services,2014.0,2.0,,2.0,92.0
10930,psychology,2013.0,2.0,,2.0,109.0
11514,"public, environmental & occupational health",2011.0,2.0,,2.0,109.0
678,family studies,2019.0,3.0,,,42.0
243,health care sciences & services,2019.0,3.0,,,42.0
5259,communication,2017.0,3.0,,,
5534,health care sciences & services,2017.0,3.0,,,42.0
9105,psychology,2015.0,3.0,,,105.0
9116,substance abuse,2015.0,3.0,,,42.0
10231,health care sciences & services,2014.0,2.0,,2.0,109.0
10758,psychology,2013.0,2.0,,2.0,42.0
11119,substance abuse,2012.0,2.0,,2.0,42.0
11660,psychology,2010.0,2.0,,2.0,4.0
11668,computer science,2010.0,2.0,,2.0,4.0
343,ethics,2020.0,4.0,,,24.0
1032,family studies,,,,,42.0
1688,social sciences,2019.0,3.0,,,42.0
3217,demography,2018.0,3.0,,,40.0
3494,psychiatry,2018.0,3.0,,,42.0
3704,psychology,2018.0,3.0,,,42.0
3794,health care sciences & services,2018.0,3.0,,,23.0
4409,substance abuse,2018.0,3.0,,,42.0
5438,multidisciplinary sciences,2017.0,3.0,,,24.0
5723,mathematics,2017.0,3.0,,,24.0
5864,psychology,2017.0,3.0,,,42.0
6110,"public, environmental & occupational health",2017.0,3.0,,,42.0
6547,communication,2017.0,3.0,,,23.0
8382,communication,2016.0,3.0,,,42.0
8536,communication,2016.0,3.0,,,42.0
8792,substance abuse,2015.0,3.0,,,8.0
9153,psychology,2015.0,3.0,,,42.0
9393,psychology,2015.0,3.0,,,42.0
9879,substance abuse,2014.0,2.0,,2.0,42.0
10714,psychology,2013.0,2.0,,14.0,193.0
10818,genetics & heredity,2013.0,2.0,,,120.0
7825,social work,2016.0,3.0,,,169.0
7240,psychology,2016.0,3.0,,,56.0
4746,business,2018.0,3.0,,,4.0
9222,computer science,2015.0,3.0,,,31.0
969,psychology,2019.0,3.0,,,4.0
9366,music,2015.0,3.0,,,
9268,psychology,2015.0,3.0,,,250.0
1222,multidisciplinary sciences,2019.0,3.0,,,
6347,psychology,2017.0,3.0,,,95.0
2337,"public, environmental & occupational health",2019.0,3.0,,,68.0
7973,psychiatry,2016.0,3.0,,,68.0
3355,substance abuse,2018.0,3.0,,,42.0
348,psychology,2020.0,4.0,,,3.0
1182,communication,2019.0,3.0,,,57.0
3474,psychology,2018.0,3.0,,,4.0
6067,computer science,2017.0,3.0,,,8.0
8978,multidisciplinary sciences,2015.0,3.0,,,21.0
11121,psychology,2012.0,2.0,,2.0,4.0
11707,orthopedics,2010.0,2.0,,,
10568,orthopedics,2013.0,2.0,,,
448,surgery,2019.0,3.0,,,16.0
540,medicine,2019.0,3.0,,,16.0
1694,surgery,2019.0,3.0,,,16.0
1876,clinical neurology,2019.0,3.0,,,16.0
2918,medicine,2018.0,3.0,,,16.0
2936,orthopedics,2018.0,3.0,,,16.0
3059,clinical neurology,2018.0,3.0,,,16.0
4294,orthopedics,2018.0,3.0,,,16.0
5552,nutrition & dietetics,2017.0,3.0,,,16.0
7511,clinical neurology,2016.0,3.0,,,16.0
7935,health care sciences & services,2016.0,3.0,,,21.0
8585,clinical neurology,2015.0,3.0,,,16.0
11266,rheumatology,2012.0,2.0,,4.0,16.0
11745,communication,2010.0,2.0,,4.0,46.0
11666,education,2010.0,2.0,,2.0,92.0
11227,psychiatry,2012.0,2.0,,2.0,92.0
8823,"public, environmental & occupational health",2015.0,3.0,,,31.0
7951,medicine,2016.0,3.0,,,16.0
2796,nursing,2019.0,3.0,,,45.0
4734,food science & technology,2018.0,3.0,,,92.0
7858,medical ethics,2016.0,3.0,,,92.0
8999,education,2015.0,3.0,,,92.0
9521,education,2015.0,3.0,,,92.0
9651,medicine,2015.0,3.0,,,92.0
9772,education & educational research,2015.0,3.0,,,92.0
10855,veterinary sciences,2013.0,2.0,,2.0,92.0
11431,education,2011.0,2.0,,2.0,92.0
11630,health care sciences & services,2011.0,2.0,,2.0,92.0
11667,pharmacology & pharmacy,2010.0,2.0,,2.0,92.0
11675,pharmacology & pharmacy,2010.0,2.0,,2.0,92.0
6548,communication,2017.0,3.0,,,8.0
6199,"public, environmental & occupational health",2017.0,3.0,,,8.0
7007,computer science,2017.0,3.0,,,9.0
10982,critical care medicine,2013.0,2.0,,3.0,8.0
10445,critical care medicine,2014.0,2.0,,,
8449,medicine,2016.0,3.0,,,200.0
10685,computer science,2013.0,2.0,,3.0,8.0
10318,multidisciplinary sciences,2014.0,2.0,,,
3189,multidisciplinary sciences,2018.0,3.0,,,35.0
8466,ophthalmology,2016.0,3.0,,,16.0
6036,emergency medicine,2017.0,3.0,,,72.0
3292,surgery,2018.0,3.0,,,159.0
5194,"public, environmental & occupational health",2017.0,3.0,,,114.0
6021,computer science,2017.0,3.0,,,31.0
7610,health care sciences & services,2016.0,3.0,,,114.0
8312,business,2016.0,3.0,,,114.0
9176,health care sciences & services,2015.0,3.0,,,114.0
10761,health care sciences & services,2013.0,2.0,,9.0,114.0
10817,health care sciences & services,2013.0,2.0,,9.0,114.0
1093,computer science,2019.0,3.0,,,19.0
797,health care sciences & services,2020.0,4.0,,,17.0
1617,dentistry,2019.0,3.0,,,19.0
1702,surgery,2019.0,3.0,,,45.0
2136,environmental sciences,2019.0,3.0,,,3.0
2590,communication,2019.0,3.0,,,17.0
3171,surgery,2018.0,3.0,,,45.0
3459,toxicology,2018.0,3.0,,,45.0
3512,computer science,2018.0,3.0,,,19.0
3822,primary health care,2018.0,3.0,,,
4408,surgery,2018.0,3.0,,,45.0
5041,communication,2018.0,3.0,,,138.0
5639,dentistry,2017.0,3.0,,,45.0
6150,multidisciplinary sciences,2017.0,3.0,,,19.0
7342,gastroenterology & hepatology,2016.0,3.0,,,8.0
7576,"public, environmental & occupational health",2016.0,3.0,,,8.0
7589,communication,2016.0,3.0,,,39.0
7757,psychology,2016.0,3.0,,,19.0
9074,radiology,2015.0,3.0,,,45.0
9102,urology & nephrology,2015.0,3.0,,,8.0
9272,urology & nephrology,2015.0,3.0,,,45.0
9938,urology & nephrology,2014.0,2.0,,1.0,45.0
10031,multidisciplinary sciences,2014.0,2.0,,2.0,19.0
10266,computer science,2014.0,2.0,,2.0,19.0
10484,health care sciences & services,2014.0,2.0,,,45.0
10827,emergency medicine,2013.0,2.0,,,45.0
10833,obstetrics & gynecology,2013.0,2.0,,1.0,19.0
5816,multidisciplinary sciences,2017.0,3.0,,,8.0
2729,geography,2019.0,3.0,,,11.0
8912,geography,2015.0,3.0,,,167.0
3556,urology & nephrology,2018.0,3.0,,,45.0
7772,psychiatry,2016.0,3.0,,,39.0
10113,"public, environmental & occupational health",2014.0,2.0,,3.0,8.0
431,substance abuse,2019.0,3.0,,,23.0
7150,substance abuse,2016.0,3.0,,,23.0
6961,nursing,2017.0,3.0,,,
6375,health care sciences & services,2017.0,3.0,,,23.0
9402,health care sciences & services,2015.0,3.0,,,8.0
3698,psychology,2018.0,3.0,,,1.0
7377,multidisciplinary sciences,2016.0,3.0,,,3.0
2819,clinical neurology,2019.0,3.0,,,179.0
3572,otorhinolaryngology,2018.0,3.0,,,179.0
8141,radiology,2016.0,3.0,,,
8516,orthopedics,2016.0,3.0,,,179.0
9266,radiology,2015.0,3.0,,,301.0
1649,integrative & complementary medicine,2019.0,3.0,,,
875,education,2019.0,3.0,,,
8555,"public, environmental & occupational health",2016.0,3.0,,,
2104,health care sciences & services,2019.0,3.0,,,88.0
3362,medicine,2018.0,3.0,,,
4951,sociology,2018.0,3.0,,,
9669,health care sciences & services,2015.0,3.0,,,
10084,urology & nephrology,2014.0,2.0,,33.0,45.0
8916,"public, environmental & occupational health",2015.0,3.0,,,
9120,medicine,2015.0,3.0,,,16.0
8037,multidisciplinary sciences,2016.0,3.0,,,10.0
7500,multidisciplinary sciences,2016.0,3.0,,,102.0
7965,education,2016.0,3.0,,,
2861,health care sciences & services,2018.0,3.0,,,81.0
853,substance abuse,2019.0,3.0,,,23.0
7399,"public, environmental & occupational health",2016.0,3.0,,,23.0
8569,multidisciplinary sciences,2015.0,3.0,,,23.0
9611,medicine,2015.0,3.0,,,23.0
2243,"public, environmental & occupational health",2019.0,3.0,,,23.0
2341,"public, environmental & occupational health",2019.0,3.0,,,8.0
3495,health care sciences & services,2018.0,3.0,,,
3880,"public, environmental & occupational health",2018.0,3.0,,,102.0
5573,multidisciplinary sciences,2017.0,3.0,,,8.0
5629,"public, environmental & occupational health",2017.0,3.0,,,8.0
5921,health care sciences & services,2017.0,3.0,,,23.0
7195,multidisciplinary sciences,2016.0,3.0,,,8.0
7900,"public, environmental & occupational health",2016.0,3.0,,,8.0
8998,health care sciences & services,2015.0,3.0,,,23.0
9434,health care sciences & services,2015.0,3.0,,,23.0
7679,substance abuse,2016.0,3.0,,,42.0
4013,"public, environmental & occupational health",2018.0,3.0,,,23.0
3053,health care sciences & services,2018.0,3.0,,,81.0
728,"public, environmental & occupational health",2019.0,3.0,,,
775,social sciences,2019.0,3.0,,,143.0
3300,"public, environmental & occupational health",2018.0,3.0,,,8.0
3484,"public, environmental & occupational health",2018.0,3.0,,,314.0
4386,education & educational research,2018.0,3.0,,,
4653,communication,2018.0,3.0,,,15.0
5495,"public, environmental & occupational health",2017.0,3.0,,,
5914,computer science,2017.0,3.0,,,314.0
6830,communication,2017.0,3.0,,,16.0
7539,psychology,2016.0,3.0,,,4.0
1910,social sciences,2019.0,3.0,,,23.0
3891,oncology,2018.0,3.0,,,
3280,radiology,2018.0,3.0,,,
7218,radiology,2016.0,3.0,,,220.0
7672,computer science,2016.0,3.0,,,31.0
116,"public, environmental & occupational health",2019.0,3.0,,,8.0
1692,surgery,2019.0,3.0,,,
3797,surgery,2018.0,3.0,,,45.0
5923,health care sciences & services,2017.0,3.0,,,42.0
2287,medicine,2019.0,3.0,,,48.0
3717,substance abuse,2018.0,3.0,,,42.0
159,substance abuse,2019.0,3.0,,,42.0
6890,substance abuse,2017.0,3.0,,,23.0
1930,psychology,2019.0,3.0,,,23.0
3116,psychology,2018.0,3.0,,,23.0
4799,communication,2018.0,3.0,,,23.0
6328,substance abuse,2017.0,3.0,,,23.0
2844,medical informatics,2018.0,3.0,,,8.0
2914,health care sciences & services,2018.0,3.0,,,8.0
3409,health care sciences & services,2018.0,3.0,,,8.0
860,health care sciences & services,2019.0,3.0,,,46.0
7189,immunology,2016.0,3.0,,,46.0
813,psychology,2019.0,3.0,,,24.0
244,health care sciences & services,2019.0,3.0,,,8.0
336,hospitality,2020.0,4.0,,,
2813,urology & nephrology,2019.0,3.0,,,45.0
3624,dentistry,2018.0,3.0,,,19.0
4687,"public, environmental & occupational health",2018.0,3.0,,,16.0
900,"public, environmental & occupational health",2019.0,3.0,,,102.0
3769,health care sciences & services,2018.0,3.0,,,325.0
4240,health care sciences & services,2018.0,3.0,,,
2150,health care sciences & services,2019.0,3.0,,,68.0
1100,psychology,2019.0,3.0,,,24.0
211,"public, environmental & occupational health",2019.0,3.0,,,46.0
38,health care sciences & services,2019.0,3.0,,,177.0
212,"public, environmental & occupational health",2019.0,3.0,,,129.0
699,cardiac & cardiovascular systems,2019.0,3.0,,,177.0
1541,rheumatology,2019.0,3.0,,,1.0
2053,medicine,2019.0,3.0,,,160.0
768,medicine,2019.0,3.0,,,160.0
9389,psychology,2015.0,3.0,,,32.0
10548,"public, environmental & occupational health",2013.0,2.0,,4.0,16.0
7787,health care sciences & services,2016.0,3.0,,,8.0
1405,multidisciplinary sciences,2019.0,3.0,,,24.0
10866,communication,2013.0,2.0,,4.0,23.0
10253,communication,2014.0,2.0,,4.0,34.0
11646,education & educational research,2010.0,2.0,,4.0,23.0
4444,computer science,2018.0,3.0,,,31.0
5530,medical informatics,2017.0,3.0,,,31.0
5600,health care sciences & services,2017.0,3.0,,,31.0
8341,pharmacology & pharmacy,2016.0,3.0,,,31.0
8653,computer science,2015.0,3.0,,,31.0
9545,computer science,2015.0,3.0,,,31.0
1257,computer science,2019.0,3.0,,,48.0
11414,health care sciences & services,2012.0,2.0,,4.0,116.0
6099,anesthesiology,2017.0,3.0,,,45.0
3835,medicine,2018.0,3.0,,,198.0
10964,cardiac & cardiovascular systems,2013.0,2.0,,4.0,16.0
10053,medicine,2014.0,2.0,,4.0,16.0
9291,urology & nephrology,2015.0,3.0,,,16.0
9493,"public, environmental & occupational health",2015.0,3.0,,,138.0
11392,obstetrics & gynecology,2012.0,2.0,,,31.0
11700,"public, environmental & occupational health",2010.0,2.0,,2.0,138.0
5391,information science & library science,2017.0,3.0,,,
1893,family studies,2019.0,3.0,,,16.0
7213,substance abuse,2016.0,3.0,,,68.0
6966,environmental sciences,2017.0,3.0,,,23.0
96,business,2019.0,3.0,,,41.0
6008,engineering,2017.0,3.0,,,9.0
6573,nutrition & dietetics,2017.0,3.0,,,8.0
9679,communication,2015.0,3.0,,,46.0
5526,computer science,2017.0,3.0,,,24.0
3560,critical care medicine,2018.0,3.0,,,
11890,health care sciences & services,2008.0,1.0,4.0,,92.0
1899,"public, environmental & occupational health",2019.0,3.0,,,31.0
3642,pharmacology & pharmacy,2018.0,3.0,,,31.0
5130,"public, environmental & occupational health",2018.0,3.0,,,31.0
3565,endocrinology & metabolism,2018.0,3.0,,,16.0
7961,computer science,2016.0,3.0,,,31.0
9875,health care sciences & services,2014.0,2.0,,4.0,46.0
11059,computer science,2013.0,2.0,,4.0,116.0
11218,health care sciences & services,2012.0,2.0,,,30.0
11376,genetics & heredity,2012.0,2.0,,2.0,35.0
3798,computer science,2018.0,3.0,,,19.0
3319,computer science,2018.0,3.0,,,19.0
5704,computer science,2017.0,3.0,,,19.0
5762,education & educational research,2017.0,3.0,,,19.0
7233,computer science,2016.0,3.0,,,19.0
1525,geriatrics & gerontology,2019.0,3.0,,,7.0
8469,communication,2016.0,3.0,,,32.0
10683,education,2013.0,2.0,,13.0,129.0
1763,immunology,2019.0,3.0,,,46.0
5453,medicine,2017.0,3.0,,,46.0
5872,psychology,2017.0,3.0,,,
6803,biotechnology & applied microbiology,2017.0,3.0,,,46.0
11361,communication,2012.0,2.0,,4.0,46.0
11763,immunology,2010.0,2.0,,4.0,46.0
11894,"public, environmental & occupational health",2008.0,1.0,8.0,4.0,46.0
1362,business,2019.0,3.0,,,18.0
7041,psychology,2016.0,3.0,,,24.0
8954,environmental sciences,2015.0,3.0,,,31.0
1799,oncology,2019.0,3.0,,,
7822,multidisciplinary sciences,2016.0,3.0,,,24.0
5331,multidisciplinary sciences,2017.0,3.0,,,23.0
3134,health care sciences & services,2019.0,3.0,,,
10745,communication,2013.0,2.0,,2.0,32.0
354,dentistry,2020.0,4.0,,,8.0
11103,health care sciences & services,2012.0,2.0,,4.0,16.0
2436,psychology,2019.0,3.0,,,68.0
3069,psychiatry,2018.0,3.0,,,68.0
4089,environmental sciences,2018.0,3.0,,,68.0
11597,computer science,2011.0,2.0,,1.0,123.0
2177,"public, environmental & occupational health",2019.0,3.0,,,3.0
4112,health care sciences & services,2018.0,3.0,,,114.0
6473,psychology,2017.0,3.0,,,114.0
10672,health care sciences & services,2013.0,2.0,,9.0,114.0
3066,social sciences,2018.0,3.0,,,
1993,environmental sciences,2019.0,3.0,,,2.0
2279,communication,2019.0,3.0,,,10.0
2449,"public, environmental & occupational health",2019.0,3.0,,,168.0
8946,psychology,2015.0,3.0,,,34.0
5073,information science & library science,2018.0,3.0,,,10.0
2725,psychiatry,2019.0,3.0,,,
3608,medical informatics,2018.0,3.0,,,61.0
4084,psychiatry,2018.0,3.0,,,61.0
1297,endocrinology & metabolism,2019.0,3.0,,,19.0
6266,multidisciplinary sciences,2017.0,3.0,,,19.0
7296,computer science,2016.0,3.0,,,45.0
9334,information science & library science,2015.0,3.0,,,19.0
11905,health care sciences & services,2008.0,1.0,,,
4022,cardiac & cardiovascular systems,2018.0,3.0,,,
9212,health care sciences & services,2015.0,3.0,,,8.0
6234,sport sciences,2017.0,3.0,,,
7729,health care sciences & services,2016.0,3.0,,,81.0
9058,health care sciences & services,2015.0,3.0,,,
9215,"public, environmental & occupational health",2015.0,3.0,,,81.0
9732,"public, environmental & occupational health",2015.0,3.0,,,
824,environmental sciences,2019.0,3.0,,,16.0
901,dentistry,2019.0,3.0,,,16.0
922,dentistry,2019.0,3.0,,,16.0
1214,"public, environmental & occupational health",2019.0,3.0,,,16.0
1540,rheumatology,2019.0,3.0,,,16.0
1656,psychology,2019.0,3.0,,,16.0
1704,"public, environmental & occupational health",2019.0,3.0,,,189.0
1760,dermatology,2020.0,4.0,,,16.0
1790,immunology,2019.0,3.0,,,16.0
1848,behavioral sciences,2019.0,3.0,,,16.0
1913,urology & nephrology,2019.0,3.0,,,16.0
2140,communication,2019.0,3.0,,,16.0
2864,medical informatics,2018.0,3.0,,,16.0
3711,dentistry,2018.0,3.0,,,16.0
3727,"public, environmental & occupational health",2018.0,3.0,,,46.0
3733,otorhinolaryngology,2018.0,3.0,,,16.0
3747,communication,2018.0,3.0,,,7.0
4205,psychology,2018.0,3.0,,,57.0
4317,health care sciences & services,2018.0,3.0,,,16.0
4319,surgery,2018.0,3.0,,,16.0
4514,geography,2018.0,3.0,,,173.0
4570,"public, environmental & occupational health",2018.0,3.0,,,16.0
4610,biotechnology & applied microbiology,2018.0,3.0,,,16.0
4621,health care sciences & services,2018.0,3.0,,,16.0
5132,"public, environmental & occupational health",2018.0,3.0,,,16.0
5403,dentistry,2017.0,3.0,,,16.0
5679,computer science,2017.0,3.0,,,57.0
5833,family studies,2017.0,3.0,,,16.0
5839,medicine,2017.0,3.0,,,16.0
6104,computer science,2017.0,3.0,,,46.0
6283,surgery,2017.0,3.0,,,16.0
6398,ergonomics,2017.0,3.0,,,16.0
6594,dentistry,2017.0,3.0,,,16.0
6605,"public, environmental & occupational health",2017.0,3.0,,,189.0
6827,biotechnology & applied microbiology,2017.0,3.0,,,46.0
6906,medicine,2017.0,3.0,,,16.0
7211,education,2016.0,3.0,,,16.0
7435,oncology,2016.0,3.0,,,16.0
7577,communication,2016.0,3.0,,,16.0
7984,dentistry,2016.0,3.0,,,16.0
8547,"public, environmental & occupational health",2016.0,3.0,,,16.0
8663,communication,2015.0,3.0,,,173.0
8746,allergy,2015.0,3.0,,,16.0
8869,immunology,2015.0,3.0,,,46.0
8887,communication,2015.0,3.0,,,16.0
8950,health care sciences & services,2015.0,3.0,,,16.0
9003,surgery,2015.0,3.0,,,16.0
9091,social sciences,2015.0,3.0,,,17.0
9390,pediatrics,2015.0,3.0,,,16.0
9961,ethics,2014.0,2.0,,4.0,16.0
10039,behavioral sciences,2014.0,2.0,,4.0,16.0
10106,education & educational research,2014.0,2.0,,1.0,30.0
10122,peripheral vascular disease,2014.0,2.0,,4.0,16.0
10175,pediatrics,2014.0,2.0,,4.0,16.0
10208,respiratory system,2014.0,2.0,,4.0,16.0
10219,gastroenterology & hepatology,2014.0,2.0,,4.0,16.0
10262,psychology,2014.0,2.0,,4.0,16.0
10507,multidisciplinary sciences,2013.0,2.0,,4.0,16.0
10598,behavioral sciences,2013.0,2.0,,4.0,16.0
10721,critical care medicine,2013.0,2.0,,4.0,16.0
10797,"public, environmental & occupational health",2013.0,2.0,,4.0,16.0
10806,gastroenterology & hepatology,2013.0,2.0,,4.0,16.0
10872,behavioral sciences,2013.0,2.0,,,16.0
10891,health care sciences & services,2013.0,2.0,,4.0,16.0
